School,Operating_Units,Expiration_Date,Programs
Abraham Baldwin Agricultural Program (ABAC) Nursing Program,All EHC operating units,01/05/2028,"ASN, BSN"
Albany State University,"All EHC operating units, including EHWR & EHP",02/13/2027,"BSN, MSN"
American Sentinel College,All EHC operating units,03/11/2028,DNP
Atlanta Technical College,All EHC operating units,08/19/2027,MA
Atlanta Technical College - Nursing,All EHC operating units,05/12/2027,ADN
Atlanta Technical College - Sterile Processing,"TEC, Ambulatory Surgery Center",05/12/2027,Sterile Processing Techs
Auburn University School of Nursing Main Campus,All EHC operating units,09/11/2027,BSN
"Augusta University, GA, Georgia Regents / Georgia Health Sciences University","All EHC operating units, including EHWR & EHP",08/28/2028,"BSN, MSN, DNP"
Baylor University,All EHC operating units,09/06/2026,"BSN, DNP"
Brenau University,All EHC operating units,06/02/2028,"BSN, MSN"
Cambridge College,"EDH and EHH, including EHWR & EHP",09/02/2027,"Medical Sonography
for Adult Cardiac"
Capella University,"All EHC operating units, including EHWR & EHP",09/12/2028,"BSN, MSN, DNP"
Central Georgia Technical College,"All EHC operating units, including EHWR & EHP",12/09/2028,"ASN, LPN, Paramedics"
Chamberlain College of Nursing,All EHC operating units,03/22/2028,"BSN, MSN, DNP"
Chamberlain University,"EUH, EUHM, ESJH, EJCH, TEC",12/12/2028,Master's Public Health
College of Dupage,"All EHC operating units, including EHWR & EHP",09/09/2028,"Surgical Tech, Surgical Assist"
Columbus State University,"All EHC operating units, including EHWR & EHP",11/19/2026,"BSN, MSN"
Dalton State College,All EHC operating units,05/12/2027,"ADN, BSN"
Duke University,All EHC operating units,01/12/2029,"BSN, MSN, DNP"
Emergency Education coalition-Faithful Guardian,"All EHC operating units, including EHWR & EHP",09/08/2028,Paramedic students
Emory University NHWSON,"All EHC operating units, including EHWR & EHP",12/09/2030,"BSN, MSN, DNP"
Emory University NHWSON,All EHC operating units,05/07/2029,CRNA
Fort Valley State University,"All EHC operating units, including EHWR & EHP",01/07/2029,BSN
Frontier Nursing University,"EUHM, EJCH, TEC, EDH, EHH",12/13/2026,DNP
Georgia College and State University,"All EHC operating units, including EHWR & EHP",12/29/2028,"BSN, MSN"
Georgia Gwinnett College,All EHC operating units,06/09/2028,BSN
Georgia Highlands College,All EHC operating units,12/18/2027,"ASN, BSN"
Georgia Northwestern Technical College,"EUHM, EUH, EDH, EJCH & ESJH",06/11/2028,"ECHO Students
Vascular Sonography"
Georgia Piedmont Technical College for Medical Assisting Programs,"EUH, EUOSH, EUHM, ESJH, EJCH, EWW, TEC, ESA",09/17/2027,MA
Georgia Southwestern University,"All EHC operating units, including EHWR & EHP",02/09/2029,"BSN, MSN"
Georgia State University,"All EHC operating units, including EHWR & EHP",08/29/2026,"BSN, MSN, DNP, LPN-BSN"
Gordon State College,"All EHC operating units, including EHWR & EHP",08/20/2026,ADN Program
Grand Canyon,"All EHC operating units, including EHWR & EHP",09/17/2028,"BSN, MSN, DNP"
Gwinnett Tech,All EHC operating units,01/28/2026,"MA, Cardiovascular and Surgical Tech, Central Processing, ECHO Students"
