Program_Name,Type,Year,TotalDelivered,TotalPassed,TotalFailed,PassRate
Abraham Baldwin Agricultural College,Associates,2022,119,93,26,0.7815
Abraham Baldwin Agricultural College,Associates,2023,102,84,18,0.8235
Abraham Baldwin Agricultural College,Associates,2024,84,82,2,0.9762
Abraham Baldwin Agricultural College,Associates,2025,96,96,0,1
Albany State University,Associates,2022,182,132,50,0.7253
Albany State University,Associates,2023,147,127,20,0.8639
Albany State University,Associates,2024,115,110,5,0.9565
Albany State University,Associates,2025,137,118,19,0.8613
Albany State University,Bachelors,2022,14,11,3,0.7857
Albany State University,Bachelors,2023,16,16,0,1
Albany State University,Bachelors,2024,12,11,1,0.9167
Albany State University,Bachelors,2025,6,5,1,0.8333
Albany Technical College,Associates,2022,22,18,4,0.8182
Albany Technical College,Associates,2023,10,10,0,1
Albany Technical College,Associates,2024,26,26,0,1
Albany Technical College,Associates,2025,30,29,1,0.9667
Andrew College,Associates,2022,14,9,5,0.6429
Andrew College,Associates,2023,2,2,0,1
Andrew College,Associates,2024,8,8,0,1
Andrew College,Associates,2025,16,12,4,0.75
Athens Technical College,Associates,2022,40,36,4,0.9
Athens Technical College,Associates,2023,47,47,0,1
Athens Technical College,Associates,2024,50,50,0,1
Athens Technical College,Associates,2025,54,51,3,0.9444
Atlanta Technical College,Associates,2022,10,8,2,0.8
Atlanta Technical College,Associates,2023,12,12,0,1
Atlanta Technical College,Associates,2024,24,24,0,1
Atlanta Technical College,Associates,2025,13,13,0,1
Augusta Technical College,Associates,2022,10,10,0,1
Augusta Technical College,Associates,2023,25,24,1,0.96
Augusta Technical College,Associates,2024,52,43,9,0.8269
Augusta Technical College,Associates,2025,131,106,25,0.9082
Augusta University,Bachelors,2022,166,132,34,0.7952
Augusta University,Bachelors,2023,169,163,6,0.9645
Augusta University,Bachelors,2024,162,152,10,0.9383
Augusta University,Bachelors,2025,163,147,16,0.9018
Augusta University,Pre-Licensure_Masters,2022,132,111,21,0.8409
Augusta University,Pre-Licensure_Masters,2023,137,120,17,0.8759
Augusta University,Pre-Licensure_Masters,2024,144,153,9,0.9412
Augusta University,Pre-Licensure_Masters,2025,127,115,12,0.9055
Berry College,Bachelors,2022,32,25,7,0.7813
Berry College,Bachelors,2023,23,23,0,1
Berry College,Bachelors,2024,35,35,0,1
Berry College,Bachelors,2025,26,26,0,1
Brenau University,Bachelors,2022,122,104,18,0.8525
Brenau University,Bachelors,2023,77,60,17,0.7792
Brenau University,Bachelors,2024,41,48,7,0.8542
Brenau University,Bachelors,2025,36,32,4,0.8889
Brenau University,Pre-Licensure_Masters,2023,51,51,0,1
Brenau University,Pre-Licensure_Masters,2024,70,69,1,0.9857
Brenau University,Pre-Licensure_Masters,2025,81,71,10,0.8765
Brewton Parker Christian University,Bachelors,2024,9,9,0,1
Brewton Parker Christian University,Bachelors,2025,14,7,7,0.5
"Cambridge College of Healthcare and
Technology",Associates,2025,25,19,6,0.76
Central Georgia Technical College,Associates,2022,34,24,10,0.7059
Central Georgia Technical College,Associates,2023,38,37,1,0.9737
Central Georgia Technical College,Associates,2024,56,51,5,0.9107
Central Georgia Technical College,Associates,2025,71,54,17,0.7606
Chamberlain University,Bachelors,2022,327,260,67,0.7951
Chamberlain University,Bachelors,2023,426,339,87,0.7958
Chamberlain University,Bachelors,2024,403,314,89,0.7792
Chamberlain University,Bachelors,2025,331,264,67,0.7976
Chattahoochee Technical College,Associates,2022,54,54,0,1
Chattahoochee Technical College,Associates,2023,41,39,2,0.9512
Chattahoochee Technical College,Associates,2024,16,16,0,1
Chattahoochee Technical College,Associates,2025,49,49,0,1
Clayton State University,Bachelors,2022,81,65,16,0.8025
Clayton State University,Bachelors,2023,76,67,9,0.8816
Clayton State University,Bachelors,2024,35,33,2,0.9429
Clayton State University,Bachelors,2025,41,39,2,0.9512
Coastal Pines Technical College,Associates,2022,38,20,18,0.5263
Coastal Pines Technical College,Associates,2023,36,29,7,0.8056
Coastal Pines Technical College,Associates,2024,28,23,5,0.8214
Coastal Pines Technical College,Associates,2025,23,20,3,0.8696
College of Coastal Georgia,Associates,2022,55,40,15,0.7273
College of Coastal Georgia,Associates,2023,38,35,3,0.9211
College of Coastal Georgia,Associates,2024,48,46,2,0.9583
College of Coastal Georgia,Associates,2025,51,46,5,0.902
College of Coastal Georgia,Bachelors,2022,36,30,6,0.8333
College of Coastal Georgia,Bachelors,2023,33,33,0,1
College of Coastal Georgia,Bachelors,2024,31,31,0,1
College of Coastal Georgia,Bachelors,2025,20,20,0,1
Columbus State University,Bachelors,2022,39,34,5,0.8718
Columbus State University,Bachelors,2023,60,58,2,0.9667
Columbus State University,Bachelors,2024,74,71,3,0.9595
Columbus State University,Bachelors,2025,47,45,2,0.9574
Columbus Technical College,Associates,2022,61,49,12,0.8033
Columbus Technical College,Associates,2023,70,62,8,0.8857
Columbus Technical College,Associates,2024,85,77,8,0.9059
Columbus Technical College,Associates,2025,80,63,17,0.7875
Dalton State College,Associates,2022,58,41,17,0.7069
Dalton State College,Associates,2023,84,74,10,0.881
