organization,cohort date,nurse id,deid_names,employment start date,type of unit,age,gender,education,nursing degree received,gpa,employment status,leave,termination,termination date,termination reason,id,tenure
Emory University Hospital Midtown,8/8/2025 0:00,480100,13696,8/4/2025 0:00,Medical/Surgical Inpatient Unit,23,Female,Albany State University,BSN,3.75,Full-time,No,No,,,20576,0.638356164
Emory University Hospital Midtown,10/24/2025 0:00,471803,12881,11/17/2025 0:00,Cardiac/Heart/Vascular Critical Care,51,Female,Abraham Baldwin Agricultural College,ADN/ASN,3.476965558,Full-time,No,No,,,18561,0.350684932
Emory Saint Joseph's Hospital,10/2/2025 0:00,2602393,13698,9/29/2025 0:00,Medical/Surgical Inpatient Unit,25,Female,Abraham Baldwin Agricultural College,ADN/ASN,3.245,Full-time,No,No,,,20577,0.484931507
Emory Saint Joseph's Hospital,7/18/2022 0:00,456040,13699,8/1/2022 0:00,Orthopedic Inpatient Unit,29,Female,Abraham Baldwin Agricultural College,ADN/ASN,3.245,,No,Yes,1/13/2023 0:00,Unsatisfactory performance,20578,0.452054795
Emory Decatur Hospital,10/11/2022 0:00,458925,13700,10/10/2022 0:00,Emergency Department,25,Female,Abraham Baldwin Agricultural College,ADN/ASN,2.745,Full-time,No,Yes,12/23/2023 0:00,Travel Nurse,20579,1.202739726
Emory Decatur Hospital,8/2/2022 0:00,429200,13701,7/25/2022 0:00,Neonatal ICU Inpatient Unit,43,Female,Abraham Baldwin Agricultural College,ADN/ASN,2.745,,No,No,,,20580,3.668493151
Emory University Hospital,4/27/2022 0:00,453442,13702,4/4/2022 0:00,Emergency Department,26,Female,Abraham Baldwin Agricultural College,ADN/ASN,2.745,,No,No,,,20581,3.975342466
Emory Johns Creek Hospital,7/22/2019 0:00,958334,13703,7/15/2019 0:00,Medical/Surgical ICU Inpatient Unit,32,Female,Abraham Baldwin Agricultural College,ADN/ASN,2.745,,No,Yes,12/13/2020 0:00,Compensation/pay,20582,1.416438356
Emory University Hospital,7/19/2017 0:00,4033680,13704,,Ambulatory Setting,38,Female,Abraham Baldwin Agricultural College,ADN/ASN,3.245,,No,No,,,20583,
Emory University Hospital,2/25/2017 0:00,564591,13705,,Ambulatory Setting,39,Female,Abraham Baldwin Agricultural College,ADN/ASN,3.245,,No,No,,,20584,
Emory Johns Creek Hospital,7/10/2025 0:00,453145,13706,7/7/2025 0:00,Medical/Surgical Inpatient Unit,36,Female,Accelerated Bsn,BSN,3.75,Full-time,No,No,,,20585,0.715068493
Emory University Hospital,7/30/2018 0:00,42285,13707,,Other (please specify),32,Female,Adventist U of Health Sciences,BSN,3.245,,No,No,,,20586,
Emory University Hospital,3/17/2014 0:00,31790,13708,,General Medical Inpatient Unit,24,Female,Armstong State University,BSN,3.245,,No,No,,,20587,
Emory Decatur Hospital,8/19/2025 0:00,479947,13709,8/11/2025 0:00,Rehabilitation Inpatient Unit,21,Female,Albany State University,BSN,3.245,Full-time,No,No,,,20588,0.619178082
Emory University Hospital Midtown,8/8/2025 0:00,480010,13710,8/4/2025 0:00,Medical/Surgical Inpatient Unit,23,Female,Albany State University,BSN,3.75,Full-time,No,No,,,20589,0.638356164
Emory University Hospital,10/14/2022 0:00,457429,13711,11/7/2022 0:00,Orthopedic Inpatient Unit,27,Male,Albany State University,BSN,3.245,,No,Yes,9/20/2023 0:00,Obtained position with a more desirable commute,20590,0.868493151
Emory University Hospital Midtown,4/4/2025 0:00,476552,13712,3/17/2025 0:00,Emergency Department,30,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20591,1.021917808
Emory University Hospital Midtown,4/4/2025 0:00,476852,13713,3/31/2025 0:00,Medical/Surgical Intermediate Unit,26,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20592,0.983561644
Emory University Hospital Midtown,4/4/2025 0:00,477358,13714,5/2/2025 0:00,Neurology Inpatient Unit,40,Female,Albany State University,ADN/ASN,2.745,Full-time,No,No,,,20593,0.895890411
Emory Decatur Hospital,4/1/2025 0:00,476503,13715,3/24/2025 0:00,Emergency Department,22,Male,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20594,1.002739726
Emory Decatur Hospital,4/1/2025 0:00,476508,13716,3/17/2025 0:00,Emergency Department,24,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20595,1.021917808
The Emory Clinic,3/10/2025 0:00,464044,13717,2/2/2025 0:00,Ambulatory Setting,40,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20596,1.139726027
Emory University Hospital,10/28/2024 0:00,448283,13718,10/14/2024 0:00,Medical/Surgical Intermediate Unit,26,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20597,1.443835616
Emory University Hospital,10/28/2024 0:00,465066,13719,10/14/2024 0:00,Transplant Unit,24,Female,Albany State University,BSN,3.245,Full-time,No,No,,,20598,1.443835616
Emory University Hospital,10/28/2024 0:00,474441,13720,10/21/2024 0:00,General Medical Inpatient Unit,23,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20599,1.424657534
Emory University Hospital Midtown,10/25/2024 0:00,448683,13721,10/15/2024 0:00,Emergency Department,24,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20600,1.44109589
Emory University Hospital Midtown,10/25/2024 0:00,472184,13722,11/18/2024 0:00,General Medical Inpatient Unit,38,Female,Albany State University,ADN/ASN,2.745,Full-time,No,No,,,20601,1.347945205
Emory University Hospital Midtown,10/25/2024 0:00,474495,13723,10/14/2024 0:00,Emergency Department,27,Female,Albany State University,ADN/ASN,2.745,Full-time,No,No,,,20602,1.443835616
Emory University Hospital Midtown,10/25/2024 0:00,2138731,13724,10/14/2024 0:00,General Medical Inpatient Unit,28,Female,Albany State University,ADN/ASN,3.75,Full-time,No,No,,,20603,1.443835616
Emory Decatur Hospital,8/20/2024 0:00,459182,13725,8/12/2024 0:00,Observation Unit,24,Female,Albany State University,BSN,3.245,Full-time,No,No,,,20604,1.616438356
Emory University Hospital,8/5/2024 0:00,2401326,13726,7/29/2024 0:00,Telemetry Unit,23,Female,Albany State University,BSN,3.75,Full-time,No,Yes,11/9/2025 0:00,Other/Unknown,20605,1.282191781
Emory Saint Joseph's Hospital,7/12/2024 0:00,471163,13727,7/15/2024 0:00,Medical/Surgical Inpatient Unit,44,Female,Albany State University,ADN/ASN,3.75,Full-time,No,No,,,20606,1.693150685
Emory University Hospital Midtown,4/5/2024 0:00,468927,13728,4/1/2024 0:00,Medical ICU Inpatient Unit,38,Female,Albany State University,ADN/ASN,2.745,Full-time,No,No,,,20607,1.980821918
Emory Johns Creek Hospital,2/22/2024 0:00,469487,13729,3/18/2024 0:00,Medical/Surgical Inpatient Unit,38,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20608,2.019178082
Emory University Hospital Midtown,10/27/2023 0:00,430649,13730,10/1/2023 0:00,Orthopedic Inpatient Unit,38,Female,Albany State University,Diploma,3.245,Full-time,No,No,,,20609,2.482191781
Emory University Hospital Midtown,8/20/2025 0:00,476490,13731,7/28/2025 0:00,Perioperative OR,31,Male,Albany State University,ADN/ASN,3.245,Full-time,No,Yes,11/9/2025 0:00,Compensation/pay,20610,0.284931507
Emory University Hospital Midtown,4/1/2022 0:00,432057,13732,4/15/2022 0:00,Cardiac/Heart/Vascular Critical Care,40,Female,Albany State University,ADN/ASN,2.745,,No,No,,,20611,3.945205479
Emory University Hospital Midtown,10/29/2021 0:00,450712,13733,10/24/2021 0:00,Emergency Department,24,Female,Albany State University,ADN/ASN,3.245,,No,Yes,11/20/2022 0:00,Other/Unknown,20612,1.073972603
Emory Johns Creek Hospital,7/12/2024 0:00,473360,13734,8/19/2024 0:00,Neonatal ICU Inpatient Unit,22,Male,Albany State University,ADN/ASN,3.245,Full-time,No,Yes,10/31/2024 0:00,Other/Unknown,20613,0.2
Emory University Hospital,9/27/2021 0:00,2129959,13735,10/3/2021 0:00,Telemetry Unit,30,Female,Albany State University,ADN/ASN,3.245,,No,No,,,20614,4.476712329
