Cohort Date,(Multiple Items)
,
Row Labels,Number of New Graduate Nurses Hired
Emory University,112
Chamberlain University,49
Georgia State University,24
South College,18
Kennesaw State University,16
Herzing University,11
Augusta State University,11
Georgia Southern University,11
Albany State University,10
University of North Georgia,10
Mercer University,9
Galen College of Nursing,5
Georgia Gwinnett College,5
Tuskegee University,4
University of West Georgia,4
South College of Atlanta,3
University of south alabama,3
Georgia College and State University,3
Georgia State Perimeter College,3
University of Tennessee,3
University of Tennessee at Chattanooga,3
Southern Crescent technical college,3
Florida State University,3
Mercer Univeristy,3
Brenau University,3
Georgia college & state university,2
University of Alabama at Birmingham,2
Gordon State College,2
Auburn University,2
University of North Florida,2
Abraham Baldwin Agricultural College,2
Valdosta state university,2
Columbus State University,2
Marian University,2
North Carolina A&T State University,2
University of Miami,2
Northeastern University,2
Gwinnett Technical College,2
Piedmont university,2
University of South Carolina,2
Miami University,2
Chamberlain University ,2
WGTC,2
Keiser University,2
Kennesaw State  University,2
Middle Georgia State University,2
Southern Union State Community College,1
Brenau University ,1
university of augusta,1
Atlanta Technical College ,1
Smith College,1
Accelerated BSN,1
The University of Tennessee,1
Herzing unversity,1
Galen College of Nursing (Miami),1
Holmes Community College,1
University West Georgia,1
Howard University,1
Southern Crescent Tech,1
Jacksonville State University,1
Texas A&M University,1
Jacksonville University,1
Union university school of nursing,1
Jefferson State Community College,1
University of Florida,1
Jersey college school of nursing,1
Bethune-Cookman University,1
Joyce University School of Nursing,1
University of Tennessee Knoxville,1
Chattahoochee Technical College,1
Santa Fe College,1
Keiser University ,1
Fairfield University,1
Chattahoochee Valley Community College,1
Baylor University,1
Clayton State University,1
St. Petersburg College,1
Lanier Technical College,1
Texas Womans University,1
Lasangeloes Pierce college,1
Franciscan Univerity of Steubenville,1
Lordes University,1
University of Alabama Huntsville,1
Louisiana State University,1
University of Central Florida,1
Louisiana State University ,1
University of Illinois,1
Lourdes University,1
University of Nevada,1
Loyola University New Orleans,1
University of Oklahoma,1
Colorado Technical University,1
California State University,1
Medical University of South Carolina,1
Georgia State University ,1
Arizona State University,1
Vanderbilt University,1
Cuyahoga Community College,1
Seminole state college,1
Mercer University ,1
Azusa Pacific University,1
Methodist College,1
Southern Adventists University,1
Davis and Elkins College,1
Southern Crescent Tech College,1
Western Carolina University,1
Southern Crescent Technical College ,1
Delaware State University,1
Southern University and A & M College,1
Winston Salem State University,1
Tallahassee State College,1
	37,1
Texas Christian University Harris College of Nursing,1
Misericordia University,1
The University of Southern Mississippi,1
Mitchell Community College ,1
Trident Technical College,1
Molloy University,1
Tuskegee University ,1
Nightingale College,1
berry college,1
Norfolk State University ,1
University of Arizona,1
Depaul University,1
University of California Los Angeles,1
North Carolina Agricultural and Tech State University,1
University of Delaware,1
North carolina AT & T state University,1
University of Hawaii at Hilo,1
North Georgia University,1
University of Memphis ,1
East Carolina University,1
University of Mississippi Medical Center,1
Nova Southeastern University,1
University of North Carolina at Chapel Hill,1
Nsu,1
Atlanta Technical College,1
Ohio State University ,1
University of Pennsylvania,1
Parul University,1
Brewton-Parker College,1
Pensacola Christian College,1
Cambridge College of Healthcare & Technology ,1
East Tennessee State University,1
University of Texas at Arlington,1
Queens University of Charlotte,1
University Tennessee at Chattanooga,1
Rasmussen college,1
Georgia State University Perimeter,1
Rasmussen University,1
Cape Fear Community College Wilmington,1
Riggs college,1
Wingate University,1
Middle Georgia State University ,1
Winston-Salem State University,1
Midlands Technical College,1
minneapolis community & technical college,1
Grand Total,482
